"Date","Price","Open","High","Low","Change %"
"Sep 27, 2021","2.070","2.029","2.086","2.026","2.07%"
"Sep 24, 2021","2.028","1.994","2.029","1.993","1.50%"
"Sep 23, 2021","1.998","1.995","2.008","1.987","-0.10%"
"Sep 22, 2021","2.000","2.024","2.054","1.998","-1.57%"
"Sep 21, 2021","2.032","2.025","2.038","2.001","0.30%"
"Sep 20, 2021","2.026","2.050","2.052","2.023","-1.46%"
"Sep 17, 2021","2.056","2.027","2.062","2.016","1.23%"
"Sep 16, 2021","2.031","1.969","2.034","1.967","3.20%"
"Sep 15, 2021","1.968","1.967","2.006","1.967","-0.10%"
"Sep 14, 2021","1.970","1.958","2.003","1.955","0.97%"
"Sep 13, 2021","1.951","1.944","1.960","1.942","0.41%"
"Sep 10, 2021","1.943","1.890","1.944","1.889","2.86%"
"Sep 09, 2021","1.889","1.876","1.890","1.876","0.80%"
"Sep 08, 2021","1.874","1.855","1.923","1.842","0.97%"
"Sep 07, 2021","1.856","1.835","1.857","1.834","1.25%"
"Sep 06, 2021","1.833","1.838","1.838","1.823","-0.11%"
"Sep 03, 2021","1.835","1.816","1.835","1.814","0.71%"
"Sep 02, 2021","1.822","1.830","1.832","1.819","-0.49%"
"Sep 01, 2021","1.831","1.842","1.845","1.830","-0.70%"
"Aug 31, 2021","1.844","1.833","1.844","1.832","0.66%"
"Aug 30, 2021","1.832","1.829","1.836","1.828","0.11%"
"Aug 27, 2021","1.830","1.833","1.836","1.822","-0.11%"
"Aug 26, 2021","1.832","1.830","1.834","1.827","0.00%"
"Aug 25, 2021","1.832","1.826","1.834","1.815","0.38%"
"Aug 24, 2021","1.825","1.833","1.833","1.821","-0.82%"
"Aug 23, 2021","1.840","1.828","1.841","1.807","0.77%"
"Aug 20, 2021","1.826","1.847","1.847","1.815","-1.40%"
"Aug 19, 2021","1.852","1.849","1.852","1.829","0.16%"
"Aug 18, 2021","1.849","1.843","1.857","1.826","0.11%"
"Aug 17, 2021","1.847","1.850","1.850","1.835","-0.86%"
"Aug 16, 2021","1.863","1.878","1.882","1.860","-0.96%"
"Aug 13, 2021","1.881","1.878","1.883","1.868","0.32%"
"Aug 12, 2021","1.875","1.841","1.878","1.832","2.29%"
"Aug 11, 2021","1.833","1.741","1.843","1.740","5.34%"
"Aug 10, 2021","1.740","1.713","1.762","1.712","0.69%"
"Aug 09, 2021","1.728","1.716","1.729","1.715","0.76%"
"Aug 06, 2021","1.715","1.730","1.730","1.709","-0.81%"
"Aug 05, 2021","1.729","1.677","1.729","1.675","-0.06%"
"Aug 04, 2021","1.730","1.676","1.731","1.662","0.52%"
"Aug 03, 2021","1.721","1.676","1.741","1.675","0.00%"
"Aug 02, 2021","1.721","1.700","1.770","1.685","0.94%"
"Jul 30, 2021","1.705","1.712","1.770","1.705","-1.73%"
"Jul 29, 2021","1.735","1.721","1.770","1.721","0.35%"
"Jul 28, 2021","1.729","1.699","1.770","1.697","1.83%"
"Jul 27, 2021","1.698","1.710","1.710","1.688","-0.64%"
"Jul 26, 2021","1.709","1.711","1.712","1.707","-0.75%"
"Jul 23, 2021","1.722","1.691","1.746","1.685","-0.69%"
"Jul 22, 2021","1.734","1.767","1.767","1.733","-1.76%"
"Jul 21, 2021","1.765","1.767","1.771","1.764","0.06%"
"Jul 20, 2021","1.764","1.798","1.801","1.763","-2.86%"
"Jul 19, 2021","1.816","1.817","1.834","1.796","-0.22%"
"Jul 16, 2021","1.820","1.787","1.821","1.786","0.28%"
"Jul 15, 2021","1.815","1.788","1.862","1.786","-0.06%"
"Jul 14, 2021","1.816","1.793","1.819","1.793","1.23%"
"Jul 13, 2021","1.794","1.797","1.801","1.792","0.17%"
"Jul 12, 2021","1.791","1.788","1.791","1.779","1.42%"
"Jul 09, 2021","1.766","1.745","1.796","1.742","-1.12%"
"Jul 08, 2021","1.786","1.804","1.804","1.773","-1.92%"
"Jul 07, 2021","1.821","1.797","1.823","1.784","0.75%"
"Jul 06, 2021","1.808","1.799","1.808","1.799","0.00%"
"Jul 05, 2021","1.808","1.799","1.808","1.799","-1.98%"
"Jul 02, 2021","1.844","1.826","1.845","1.808","0.82%"
"Jul 01, 2021","1.829","1.831","1.841","1.829","-0.11%"
"Jun 30, 2021","1.831","1.820","1.832","1.812","0.16%"
"Jun 29, 2021","1.828","1.807","1.829","1.771","3.10%"
"Jun 28, 2021","1.773","1.827","1.827","1.773","-2.90%"
"Jun 25, 2021","1.826","1.823","1.826","1.772","3.05%"
"Jun 24, 2021","1.772","1.810","1.817","1.771","-2.42%"
"Jun 23, 2021","1.816","1.747","1.816","1.731","4.61%"
"Jun 22, 2021","1.736","1.741","1.779","1.736","0.75%"
"Jun 21, 2021","1.723","1.765","1.771","1.723","-1.82%"
"Jun 18, 2021","1.755","1.788","1.788","1.723","-1.57%"
"Jun 17, 2021","1.783","1.740","1.789","1.735","2.65%"
"Jun 16, 2021","1.737","1.739","1.739","1.723","-0.06%"
"Jun 15, 2021","1.738","1.732","1.738","1.698","2.96%"
"Jun 14, 2021","1.688","1.730","1.730","1.674","-1.97%"
"Jun 11, 2021","1.722","1.724","1.727","1.718","-1.32%"
"Jun 10, 2021","1.745","1.762","1.762","1.705","-0.29%"
"Jun 09, 2021","1.750","1.736","1.751","1.724","0.75%"
"Jun 08, 2021","1.737","1.736","1.738","1.735","0.06%"
"Jun 07, 2021","1.736","1.748","1.769","1.736","0.12%"
"Jun 04, 2021","1.734","1.767","1.767","1.734","-0.86%"
"Jun 03, 2021","1.749","1.748","1.754","1.742","-0.40%"
"Jun 02, 2021","1.756","1.763","1.766","1.756","-0.85%"
"Jun 01, 2021","1.771","1.741","1.772","1.739","0.23%"
"May 31, 2021","1.767","1.735","1.768","1.719","1.03%"
